Erreur_détectée	Correction_proposée	Contexte	Fichier
eft	est	mour que la nature nous inspire pour les hommes c’eft cet amour pour les semblables qui constitue l’hom	5419000.txt
eft	est	amour pour les semblables qui constitue l’homme c’eft par ce sentiment par cet amour qu’on eft véritabl	5419000.txt
qu	que	itue l’homme c’est par ce sentiment par cet amour que’on eft véritablement homme il embrasse tous les 	5419000.txt
eft	est	homme c’est par ce sentiment par cet amour que’on eft véritablement homme il embrasse tous les hommes m	5419000.txt
eftpas	fêtas	ement homme il embrasse tous les hommes mais ce n’eftpasun infini aveugle qui et porte indistinctement et 	5419000.txt
eft	est	s sont les plus aimés et les plus honorés : il en eft ainsi des pages on doit plus d’amour et plus de r	5419000.txt
eft	est	us pages et cette diversité d’amour et de respect eft fondée fur la raison et fur l’équité qui n’appart	5419000.txt
ije	Je	occuper à régler les moeurs et fa le juste milieu ijeconduite sil veut bien régler les moeurs et fa con	5419000.txt
qu	que	eut bien régler les moeurs et fa conduite il faut que’il remplisse exactement tous les devoirs de la p	5419000.txt
qu	que	t remplir les devoirs de la piété filiale il faut que’il fait en commerce avec les pages qui lui feron	5419000.txt
accomplifsement	accomplissement	 vertus facilitent tome il o il le juste milieu l’accomplifsement de ces devoirs les cinq relations sont celles de 	5419000.txt
jiji	kiki	fin quoique la connaissance et la le juste milieu jiji pratique de ces vertus soient quelquefois fort di	5419000.txt
accuiicrt	acquiert	fois fort différentes fait par la manière dont on accuiicrtcette connaissance fait par la manière dont on les	5419000.txt
qu	que	omme les effets sont les mêmes de quelque manière que’on les pratique il y a des personnes qui semblen	5419000.txt
qu	que	soin de travailler d’autres enfin n’y parviennent que’après un longe pénible travailcependant ils n’ac	5419000.txt
travailcependant	travail cependant	 enfin n’y parviennent que’après un longe pénible travailcependantt ils n’acquièrent que la même connoifsance5 quoiq	5419000.txt
quoiqueles	quoiqu'elles	endant ils n’acquièrent que la même connoifsance5 quoiqueleses uns y soient oie léo le juste milieu arrivés un	5419000.txt
léo	lei	 même connoifsance5 quoiqu'elles uns y soient oie léo le juste milieu arrivés un peu plutôt et les autr	5419000.txt
qu	que	ertus il y en a qui en les pratiquant ne semblent que’obéir à un heureux naturel d’autres say portent 	5419000.txt
say	sa	 semblent que’obéir à un heureux naturel d’autres sayportent avec ardeur et avec affection parceque la 	5419000.txt
parceque	parce que	d’autres sa portent avec ardeur et avec affection parcequee la raison leur en prouve la néceflîté d’autres e	5419000.txt
néceflîté	nécessité	c affection parce que la raison leur en prouve la néceflîté d’autres enfin d’une conception plus lente semble	5419000.txt
qu	que	mes vertus quelque facilité ou quelque difficulté que’ils aient eue à les pratiquer confucius doit cel	5419000.txt
confucius	confusions	lque difficulté que’ils aient eue à les pratiquer confuciuss doit celui qui desire d’apprendre approche de la	5419000.txt
eft	est	régler les moeurs et fa conduite sait tout ce qui eft nécessaire pour le gouvernement d’un homme celui 	5419000.txt
qu	que	pour le gouvernement d’un homme celui qui sait ce que’il faut avoir pour gouverner un homme sait tout 	5419000.txt
eft	est	ut avoir pour gouverner un homme sait tout ce qui eft nécessairepour gouverner un empire car l’art de g	5419000.txt
nécessairepour	nécessaire pour	voir pour gouverner un homme sait tout ce qui est nécessairepourr gouverner un empire car l’art de gouverner un se	5419000.txt
eft	est	er un empire car l’art de gouverner un seul homme eft l’art de gouverner tous les d hommes o ii je le j	5419000.txt
ii	ici	 homme est l’art de gouverner tous les d hommes o iii je le juste milieu l’art de gouverner fe réduit 	5419000.txt
eft	est	it aux neuf règles suivantes dont la connaissance eft nécessaire à tous les souverains il régler les mo	5419000.txt
às	as	 enfants 7°. engager les ouvriers et les artisans às’établirdans fon royaume  le juste milieu 12 8°. a	5419000.txt
fon	Fond	gager les ouvriers et les artisans as’établirdans fond royaume  le juste milieu 12 8°. avoir de la bien	5419000.txt
lorfqu	lorsqu	ans le devoir les rois et les princes feudataires lorfqu’un empereur règle bien les moeurs et fa conduite 	5419000.txt
lorfqu	lorsqu	t vénérable que tout le monde efforce de suivre : lorfqu’il estime et considere les pages il éclaire avec 	5419000.txt
considere	considère	 le monde efforce de suivre : lorsqu’il estime et considere les pages il éclaire avec eux et ne sépare ni dan	5419000.txt
adminiftration	administration	sépare ni dans fa conduite particulière ni dans l’adminiftration lorfqu’il aime tendrement les parents tous les pa	5419000.txt
lorfqu	lorsqu	fa conduite particulière ni dans l’administration lorfqu’il aime tendrement les parents tous les parents c	5419000.txt
fon	Fond	ts tous les parents conspirent pour faire fleurir fond empire lorfqu’il traite bien les premiers minist	5419000.txt
lorfqu	lorsqu	parents conspirent pour faire fleurir Fond empire lorfqu’il traite bien les premiers ministres de 164 le j	5419000.txt
néceffairespourprendrelemeilleurpartiet	Pas de correction trouvée	 dans leur crédit dans leur zèle tous les secours néceffairespourprendrelemeilleurpartiet pour exécuter les projets lorfqu’il sait fe propo	5419000.txt
lorfqu	lorsqu	rendrelemeilleurpartiet pour exécuter les projets lorfqu’il sait fe proportionnel et pour ainsi dire racco	5419000.txt
fon	Fond	 ils sont pénétrés pour fa bienveillance  se pour fond affaiblit lorfqu’il a soin des peuples comme de 	5419000.txt
lorfqu	lorsqu	rés pour fa bienveillance  se pour Fond affaiblit lorfqu’il a soin des peuples comme de les propres enfant	5419000.txt
lorfqu	lorsqu	s de joie l’aiment et le révèrent comme leur père lorfqu’il attire dans fon empire les ouvriers habiles da	5419000.txt
fon	Fond	le révèrent comme leur père lorsqu’il attire dans fond empire les ouvriers habiles dans les différents 	5419000.txt
lorfqu	lorsqu	états l’abondance des choses nécessaires à la vie lorfqu’il reçoit avec amitié et traite avec générosité l	5419000.txt
fon	Fond	uatre parties du monde et l’on veut ou vivre sous fond empire ou attacher à fon service et apprendre da	5419000.txt
fon	Fond	l’on veut ou vivre sous Fond empire ou attacher à fond service et apprendre dans fa cour à devenir vert	5419000.txt
lorfqu	lorsqu	vice et apprendre dans fa cour à devenir vertueux lorfqu’il aime les rois et les priam 166 le juste milieu	5419000.txt
priam	prima	à devenir vertueux lorsqu’il aime les rois et les priam 166 le juste milieu ces feudataires et qu’il les 	5419000.txt
qu	que	 les prima 166 le juste milieu ces feudataires et que’il les porte pour ainsi dire dans fon hein en le	5419000.txt
fon	Fond	dataires et que’il les porte pour ainsi dire dans fond hein en les contenant néanmoins dans le devoir i	5419000.txt
eft	est	hein en les contenant néanmoins dans le devoir il eft formidable à toute la terre pour bien régler les 	5419000.txt
qu	que	e inaccessible à la volupté sous quelques charmes que’elle fe présente mépriser les richesses et avoir	5419000.txt
qu	que	 avoir pour la vertu la plus profonde estime pour que’un prince unisse les parents par un amour mutuel	5419000.txt
qu	que	ler leur dignité augmenter leurs revenus aimer ce que’ils aiment et haïr ce qu’ils haïssent pour avoir	5419000.txt
qu	que	 leurs revenus aimer ce que’ils aiment et haïr ce que’ils haïssent pour avoir des premiers ministres e	5419000.txt
impofer	imposer	es pour être aimé et révéré des peuples il faut n’impofer que des tributs légers et n’exiger les corvées qu	5419000.txt
eftime	estime	 qui le sont moins pour fe concilier l’amour et l’eftime des étrangers et des envoyés des princes il faut 	5419000.txt
ontbefoin	Pas de correction trouvée	moment de leur arrivée toutes les choses dont ils ontbefoin et iorfqu’ils sien retournent leur donner l’étend	5419000.txt
iorfqu	gorfou	r arrivée toutes les choses dont ils ontbefoin et iorfqu’ils sien retournent leur donner l’étendard de plo	5419000.txt
ii	ici	ers il sien trouve d’une vertu distinguée on tome iii p il le juste milieu d’un talent éminent il faut	5419000.txt
princelcur	Pas de correction trouvée	e juste milieu d’un talent éminent il faut que le princelcur marque une frime particulière et qu’il traite ave	5419000.txt
qu	que	ue le princelcur marque une frime particulière et que’il traite avec bonté tous ceux qui n’ont point d	5419000.txt
fucceffion	fieffions	inces tributaires il faut maintenir l’ordre de la fucceffiondans les familles conserver les royaumes et les pr	5419000.txt
étantfoulevésauroientperdukur	Pas de correction trouvée	 et les provinces aux enfants de ceux mêmes qui s’étantfoulevésauroientperdukur royaume se la vie dans la guerre il faut prévenir	5419000.txt
lorfqu	lorsqu	hommage et apporter leur tribut enfin il faut que lorfqu’ils sont admis pour rendre hommage ils n’offrent 	5419000.txt
qu	que	ésents et n’apportent que de modique tributs mais que’ils ne quittent la cour que comblés des témoigna	5419000.txt
jl	JPL	ienveillance et de générosité de l’empereur pis 1-jlL le juste milieu ces neuf grandes règles renferme	5419000.txt
qu	que	ous les souverains du monde et il n’y a pour tous que’un seul et même moyen de les observer c’eftde le	5419000.txt
eftde	et de	 tous que’un seul et même moyen de les observer c’eftde les méditer d’être dans la ferme révolution de le	5419000.txt
sincere	sincère	fiant dans leur exécution vrai dans les jugements sincere dans les affections juste et loyal dans les actio	5419000.txt
ef	fe	on a la vérité du coeur et de l’action vérité des ef le juste milieu ij mets dans le coeur vérité des 	5419000.txt
ij	id	oeur et de l’action vérité des fe le juste milieu ij mets dans le coeur vérité des efmets dans la cond	5419000.txt
efmets	émets	 le juste milieu id mets dans le coeur vérité des efmetsdans la conduite en sorte qu’il n’y a ni dans le c	5419000.txt
qu	que	 coeur vérité des émets dans la conduite en sorte que’il n’y a ni dans le coeur ni dans la conduite ni	5419000.txt
obfervation	observation	sulter et de suivre la vérité ne le borne pas à l’obfervation de ces neuf règles et prétend à tout tout ce qui 	5419000.txt
fubfifte	Pas de correction trouvée	 a la vérité pour base se pour principe suffit et fubfifte et tout ce qui n’eft ni dirigé ni foutent par ell	5419000.txt
eft	est	pour principe suffit et fubfifte et tout ce qui n’eft ni dirigé ni foutent par elle échoue ou s’écroule	5419000.txt
qu	que	mple qui veut parler ne sépare point sil ne parle que’après avoir consulté la vérité celui qui veut ex	5419000.txt
ii	ici	onsulté la vérité celui qui veut exécuter un trop iii je 1 juste milieu j et ne rencontrera point de d	5419000.txt
fon	Fond	lieu j et ne rencontrera point de difficulté dans fond exécution sil le forme d’après les maximes de la	5419000.txt
quelquun	quelqu'un	il le forme d’après les maximes de la vérité si a quelquunn veut élever à la vertu et qu’il prenne la vérité	5419000.txt
qu	que	a vérité si a quelqu'un veut élever à la vertu et que’il prenne la vérité pour suite il ne fera point 	5419000.txt
hommependant	homme pendant	it suivre l’une et l’autre doit être l’objet de l’hommependantt toute fa vie le principe et la règle de toutes l	5419000.txt
qu	que	on un ministre inférieur par exemple quelque zèle que’il ait ne peut bien gouverner sil n’a pas la con	5419000.txt
sûrpour	sûr pour	 confiance de les supérieurs mais il y a un moyen sûrpourr obtenir cette confiance c’eft de remplir fidèlem	5419000.txt
eft	est	l y a un moyen sûr pour obtenir cette confiance c’eft de remplir fidèlement les devoirs de l’amitié se 	5419000.txt
eft	est	 moyen sûr pour remplir les devoirs de l’amitié c’eft de remplir les devoirs de la piété filiale il y a	5419000.txt
remy	rem	été filiale il y a pareillement un moyen sûr pour remyil le juste milieu plier les devoirs de la piété f	5419000.txt
eft	est	te milieu plier les devoirs de la piété filiale c’eft de régler les moeurs et fa conduite fur la vérité	5419000.txt
eft	est	 régler les moeurs et fa conduite fur la vérité c’eft la connaissance du vrai bien ainsi tout fe rappor	5419000.txt
eft	est	 la vérité comme au premier principe cette vérité eft la voie du ciel ou la droite raison avec laquelle	5419000.txt
diftmçue	diptyque	me et qui doit régler ses moeurs par elle l’homme diftmçue fans étude et fans contention d’efprit ce qui eft	5419000.txt
eft	est	que fans étude et fans contention d’esprit ce qui eft honnête et il le pratique sans répugnance c fans 	5419000.txt
impul	impur	rt il suit constamment de lui-même et comme par l’impul le juste milieu il fion de la nature le juste mil	5419000.txt
eft	est	e la nature le juste milieu de la droite raison c’eft le privilège de l’homme qui c’eft élevé au plus h	5419000.txt
eft	est	droite raison c’est le privilège de l’homme qui c’eft élevé au plus haut degré de lumière et de vertu q	5419000.txt
possede	possède	evé au plus haut degré de lumière et de vertu qui possede pleinement la vérité spéculative et la vérité pra	5419000.txt
eft	est	 ne discerne point fans quelque difficulté ce qui eft juste ou honnête et ne say porte point fans effor	5419000.txt
say	sa	lque difficulté ce qui est juste ou honnête et ne sayporte point fans effort c fans peine c’eft l’état 	5419000.txt
eft	est	e et ne sa porte point fans effort c fans peine c’eft l’état de l’homme qui aspire à la perfection pour	5419000.txt
qu	que	qui aspire à la perfection pour y arriver il faut que’il apprenne beaucoup de choses anciennes et mode	5419000.txt
obfcurité	obscurité	 et modernes que fur les choses où il trouve de l’obfcurité il consulte les sages qu’il médite les il le just	5419000.txt
qu	que	où il trouve de l’obscurité il consulte les sages que’il médite les il le juste milieu guettons qu’il 	5419000.txt
qu	que	ges que’il médite les il le juste milieu guettons que’il leur fera et les réponses qu’il eu recevra qu	5419000.txt
qu	que	 milieu guettons que’il leur fera et les réponses que’il eu recevra qu’il les médite jusquà ce qu’il l	5419000.txt
qu	que	ue’il leur fera et les réponses que’il eu recevra que’il les médite jusquà ce qu’il les comprenne qu’a	5419000.txt
jusquà	jusqu'à	 les réponses que’il eu recevra que’il les médite jusquàà ce qu’il les comprenne qu’après les avoir bien c	5419000.txt
qu	que	es que’il eu recevra que’il les médite jusqu'à ce que’il les comprenne qu’après les avoir bien compris	5419000.txt
qu	que	que’il les médite jusqu'à ce que’il les comprenne que’après les avoir bien comprises il distingue clai	5419000.txt
qu	que	sil y a des personnes qui n’apprennent et ne font que’avec difficulté ce qu’il faut avoir et pratiquer	5419000.txt
qu	que	ui n’apprennent et ne font que’avec difficulté ce que’il faut avoir et pratiquer il faut lorsqu’ils fe	5419000.txt
qu	que	seront appliqués à la recherche de quelque vérité que’ils ne la quittent que quand ils la comprendront	5419000.txt
ee	ce	n et auxquels je n’ai rien à dire ni à conseiller ee juste milieu il si en recherchant la vérité il fe	5419000.txt
qu	que	é il fe présente quelque raison de douter il faut que’ils l’examinent jusquà ce qu’ils aient trouvé la	5419000.txt
jusquà	jusqu'à	lque raison de douter il faut que’ils l’examinent jusquàà ce qu’ils aient trouvé la folutioiï de leurs dou	5419000.txt
qu	que	 de douter il faut que’ils l’examinent jusqu'à ce que’ils aient trouvé la folutioiï de leurs doutes ma	5419000.txt
folutioiï	Pas de correction trouvée	ls l’examinent jusqu'à ce que’ils aient trouvé la folutioiï de leurs doutes mais ceci ne adresse point à ceux	5419000.txt
lorfquel	Lorsque	ux qui n’examinent rien et qui ne doutent de rien lorfquelon a trouvé la folutiorv de les doutes il faut enc	5419000.txt
folutiorv	Pas de correction trouvée	 et qui ne doutent de rien Lorsque’on a trouvé la folutiorv de les doutes il faut encore les discuter se ne p	5419000.txt
qu	que	es il faut encore les discuter se ne passer outre que’après avoir approfondi la question et épuisé tou	5419000.txt
adrefse	adresse	n et épuisé toutes les difficultés mais ceci ne s’adrefse point à ceux qui ne disputent point - lorsque l’o	5419000.txt
adrefse	adresse	nnaîtra clairement leurs divisions mais ceci ne s’adrefse point à ceux qui ne distinguent rien lorsque ceux	5419000.txt
agirqu	agir	la spéculation à l’action ils ne doivent cesser d’agirquprès avoir achevé ce qu’ils auront commencé mais c	5419000.txt
qu	que	ls ne doivent cesser d’agir’après avoir achevé ce que’ils auront commencé mais ceci ne s’adrefse point	5419000.txt
adrefse	adresse	 achevé ce que’ils auront commencé mais ceci ne s’adrefse point à ceux qui ne font rien enfin il faut être 	5419000.txt
ist	Inst	s ne font que par le moyen de dix le juste milieu istt quiconque entrera dans la pénible carrière de la	5419000.txt
qu	que	tu dans quelque degré d’ignorance et de faiblesse que’il fait lorfqu’il fera le premier pas on dit que	5419000.txt
lorfqu	lorsqu	que degré d’ignorance et de faiblesse que’il fait lorfqu’il fera le premier pas on dit que celui qui par l	5419000.txt
ii	ici	urs de l’art mais cette différence dans la mitose iii q  il le poste milieu nierez parvenir à la perfe	5419000.txt
connoiffance	connoifsance	on et dans la vérité car une vérité infuse et une connoiffance acquise eft une vérité comme une perfection acqui	5419000.txt
eft	est	car une vérité infuse et une connoifsance acquise eft une vérité comme une perfection acquise ou reçue 	5419000.txt
eft	est	 une vérité comme une perfection acquise ou reçue eft une perfection celui que la science et la vertu o	5419000.txt
eft	est	a science et la vertu ont conduit à la perfection eft le seul qui puisse remplir exactement la démoliti	5419000.txt
eft	est	chi de toute erreur et libre de toute cupidité il eft vrai dans tous les jugements et honnête dans tout	5419000.txt
qu	que	 et honnête dans toutes les actions comme il sait que’il n’est point d’une nature différente de celle 	5419000.txt
comioître	convoiter	tenues de fou exemple ne tardent pas à leur faire comioître et remplir ladeftination de leur nature raisonnab	5419000.txt
ladeftination	Pas de correction trouvée	 ne tardent pas à leur faire convoiter et remplir ladeftination de leur nature raisonnable son zèle prétend à tou	5419000.txt
fenfîbles	enfiles	able son zèle prétend à tous les êtres vivants et fenfîblesl invente des arts et des méthodes pour faire en s	5419000.txt
fadeftination	Pas de correction trouvée	mément à fa nature particulière et puisse remplir fadeftination dans le grand systême du monde par fon zèle et pa	5419000.txt
systême	système	ère et puisse remplir fadeftination dans le grand systême du monde par fon zèle et par fon activité pour te	5419000.txt
fon	Fond	 fadeftination dans le grand système du monde par fond zèle et par fon activité pour tenir ou remettre 	5419000.txt
fon	Fond	ns le grand système du monde par Fond zèle et par fond activité pour tenir ou remettre tous les êtres a	5419000.txt
ij	id	tous les êtres animés et vivants dans l’état cinq ij 184 le juste milieu forme à leur nature et propre	5419000.txt
fac	flac	ur nature et propre à remplir leur destination le facc devient comme le opérateur du ciel et de la terr	5419000.txt
troisieme	troisième	fection de ces êtres et forme en quelque sorte un troisieme principe avec eux mais comment l’homme qui connaî	5419000.txt
fon	Fond	rincipe avec eux mais comment l’homme qui connaît fond imperfection et qui aspire à l’état de l’homme p	5419000.txt
say	sa	et qui aspire à l’état de l’homme parfait peut-il sayélever il faut qu’il applique à suivre exactement 	5419000.txt
qu	que	état de l’homme parfait peut-il sa élever il faut que’il applique à suivre exactement tous les mouveme	5419000.txt
cceur	coeur	plique à suivre exactement tous les mouvements du cceur qui portent à une vertu particulière et qui en so	5419000.txt
ie	ide	n sont comme les branches ou comme les parties de iee juste milieu l8) maniere qu’il remplisse fidèlem	5419000.txt
maniere	manière	ches ou comme les parties de ide juste milieu l8) maniere qu’il remplisse fidèlement et scrupuleusement tou	5419000.txt
qu	que	comme les parties de ide juste milieu l8) manière que’il remplisse fidèlement et scrupuleusement tout 	5419000.txt
fuccemvement	suavement	 cette vertu en suivant cette méthode il remplira fuccemvement dans la plus parfaite exactitude tout ce qui conc	5419000.txt
parcequ	parce	r ce moyen il aura la vérité de toutes les vertus parcequl en aura l’habitude et qu’elles impriment leur ca	5419000.txt
qu	que	 toutes les vertus parce’il en aura l’habitude et que’elles impriment leur caractère fur toutes les av	5419000.txt
say	sa	eté partout où elle pénétrera mais il ne faut pas saytromper un autre avantage de l’homme parfait c’eft	5419000.txt
eft	est	sa tromper un autre avantage de l’homme parfait c’eft de découvrir les événements futurs par la perspic	5419000.txt
eft	est	ir pour ainsi dire la prescience souvent l’avenir eft précédé par des chocs qui le présagent si qui l’a	5419000.txt
qu	que	 le présagent si qui l’annoncent lors par exemple que’un royaume doit élever à une le juste milieu 187	5419000.txt
lorfqu	lorsqu	èdent et annoncent fa haute destinée au contraire lorfqu’un royaume doit essuyer un grand désastre fon mal	5419000.txt
fon	Fond	 lorsqu’un royaume doit essuyer un grand désastre fond malheur el annoncé par des signes ministres que 	5419000.txt
chi	chia	s ministres que l’on prétend trouver dans l’herbe chia ou dans la tortue et que l’homme parfait découvr	5419000.txt
afsocier	associer	évoyance et fa pénétration semblent l’égaler ou l’afsocier aux esprits c’efl donc par la vérité que l’homme 	5419000.txt
efl	et	ion semblent l’égaler ou l’associer aux esprits c’efldonc par la vérité que l’homme fe perfectionne com	5419000.txt
eft	est	omme fe perfectionne comme i 88 de juste milieu c’eft par la fidélité à suivre la droite rai ton qu’il 	5419000.txt
qu	que	 c’est par la fidélité à suivre la droite rai ton que’il eft face la vérité eft le principe et la fin 	5419000.txt
eft	est	par la fidélité à suivre la droite rai ton que’il eft face la vérité eft le principe et la fin de toute	5419000.txt
eft	est	uivre la droite rai ton que’il est face la vérité eft le principe et la fin de toutes choses une chose 	5419000.txt
qu	que	la fin de toutes choses une chose cesse d’être ce que’elle doit être ou ce qu’on la croit fi elle n’ef	5419000.txt
qu	que	ne chose cesse d’être ce que’elle doit être ou ce que’on la croit fi elle n’efb pas vraie l’amour l’ob	5419000.txt
efb	est	ue’elle doit être ou ce que’on la croit fi elle n’efb pas vraie l’amour l’obéifsancc la fidélité ne son	5419000.txt
obéifsancc	obéissant	que’on la croit fi elle n’est pas vraie l’amour l’obéifsanccla fidélité ne sont ni de l’amour ni de l’obéiffan	5419000.txt
obéiffance	obéissance	éissant la fidélité ne sont ni de l’amour ni de l’obéiffance ni de la fidélité fi elles ne sont pas vraies voi	5419000.txt
eft	est	elles ne sont pas vraies voilà pourquoi la vérité eft la règle du prix que le face met aux choses le fa	5419000.txt
fubfifter	Pas de correction trouvée	es se perfectionner de manière que l’on ne laisse fubfifter en foi-même le juste milieu ll aucune mauvaise af	5419000.txt
ll	hl	n ne laisse fubfifter en foi-même le juste milieu ll aucune mauvaise affection c’eft ce que l’on nomme	5419000.txt
eft	est	me le juste milieu hl aucune mauvaise affection c’eft ce que l’on nomme l’amour parfait ou la moitie ab	5419000.txt
confram	confira	 aux autres un degré de perfection qui les dirige confram- ment et sûrement félon les règles o de l’honnête	5419000.txt
eft	est	t et sûrement félon les règles o de l’honnêteté c’eft ce que l’on appelle la prudence l’homme reçoit ce	5419000.txt
eft	est	ure et leur manière d’agir au dedans ou au dehors eft la même ainsi celui qui les possede fait toujours	5419000.txt
possede	possède	dans ou au dehors est la même ainsi celui qui les possede fait toujours bien ce qu’il fait et suit toujours	5419000.txt
qu	que	ainsi celui qui les possède fait toujours bien ce que’il fait et suit toujours la vérité la parfaite v	5419000.txt
iorfcju	Pas de correction trouvée	rofondes racines il le juste milieu dans le coeur iorfcju’elleapersévéré et jette de profondes racines dans	5419000.txt
elleapersévéré	Pas de correction trouvée	 racines il le juste milieu dans le coeur iorfcju’elleapersévéré et jette de profondes racines dans le coeur elle 	5419000.txt
eft	est	 pénètre dans tous les coeurs par fa profondeur c’eft alors qu’elle eft parvenue au plus haut degré de 	5419000.txt
qu	que	ans tous les coeurs par fa profondeur c’est alors que’elle eft parvenue au plus haut degré de fon entr	5419000.txt
eft	est	les coeurs par fa profondeur c’est alors que’elle eft parvenue au plus haut degré de fon entreprise et 	5419000.txt
fon	Fond	alors que’elle est parvenue au plus haut degré de fond entreprise et que fa perfection eft dans fa plus	5419000.txt
eft	est	aut degré de Fond entreprise et que fa perfection eft dans fa plus grande splendeur son étendue et fa p	5419000.txt
foutiennenttous	soutiennent	lus grande splendeur son étendue et fa profondeur foutiennenttousouvrages fon élévation et fa splendeur les éclaire	5419000.txt
fesouvrages	fes ouvrages	plendeur son étendue et fa profondeur soutiennent fesouvragess fon élévation et fa splendeur les éclairent fa p	5419000.txt
fon	Fond	étendue et fa profondeur soutiennent fes ouvrages fond élévation et fa splendeur les éclairent fa persé	5419000.txt
fon	Fond	 et fa fermeté les conduisent à la perfection par fond étendue et par fa profondeur elle eft semblable 	5419000.txt
eft	est	ection par Fond étendue et par fa profondeur elle eft semblable à la le juste milieu ir terre au ciel p	5419000.txt
ir	ri	rofondeur elle est semblable à la le juste milieu ir terre au ciel par fon élévation et par fa splende	5419000.txt
fon	Fond	mblable à la le juste milieu ri terre au ciel par fond élévation et par fa splendeur à la durée du ciel	5419000.txt
eft	est	t même sans les prévoir l’étendue de fa splendeur eft comme une émanation naturelle de fa beauté et non	5419000.txt
eifet	effet	mme une émanation naturelle de fa beauté et non l’eifet des ressources et des moyens qu’emploient l’orgue	5419000.txt
qu	que	eauté et non l’effet des ressources et des moyens que’emploient l’orgueil l’amour de la gloire ou la m	5419000.txt
eft	est	our de la gloire ou la manie de la célébrité ce n’eft point par les réprimandes et par les reproches qu	5419000.txt
eft	est	ndeur de la vertu réforme les moeurs corrompues c’eft par les charmes tu le juste milieu et par les att	5419000.txt
eft	est	uste milieu et par les attraits de fa beauté ce n’eft point par un usage pénible et laborieux de les fo	5419000.txt
choles	choyés	orieux de les forces que fa confiance conduit les choles à leur perfection mais en suivant le cours des év	5419000.txt
efprk	esprit	 vérité  3  fans aucun mélange de fausseté mais l’efprkt de l’homme ne peut la comprendre parceque la man	5419000.txt
parceque	parce que	té mais l’esprit de l’homme ne peut la comprendre parcequee la manière dont le ciel et la terre arif le just	5419000.txt
arif	tarif	dre parce que la manière dont le ciel et la terre ariff le juste milieu 19 sent eft prodigieusement éten	5419000.txt
eft	est	le ciel et la terre tarif le juste milieu 19 sent eft prodigieusement étendue profonde élevée éclatante	5419000.txt
sappelle	s'appelle	très petite partie et cependant ce que vous voyez sappellee le ciel mais fi vous voulez le connaître tout en	5419000.txt
fon	Fond	d’étoiles suspendues avec un ordre admirable dans fond étendue immense éclairées se mes ou fixées par l	5419000.txt
ii	ici	ées par lui si vous fixez vos regards fur un tome iii r 194 de juste milieu point de la terre quelque 	5419000.txt
qu	que	4 de juste milieu point de la terre quelque petit que’il fait c’eft pourtant la terre que vous voyez m	5419000.txt
eft	est	ieu point de la terre quelque petit que’il fait c’eft pourtant la terre que vous voyez mais iî vous vou	5419000.txt
iî	ici	 fait c’est pourtant la terre que vous voyez mais iîi vous voulez connaître tout le globe combien vous	5419000.txt
eft	est	lobe combien vous le trouverez vaste et profond c’eft fur lui qu’eft appuyée la haute montagne de ha et	5419000.txt
qu	que	 vous le trouverez vaste et profond c’est fur lui que’eft appuyée la haute montagne de ha et cependant	5419000.txt
eft	est	uyée la haute montagne de ha et cependant il n’en eft point affaissé vous voyez tous les fleuves fe jet	5419000.txt
jetter	jeter	est point affaissé vous voyez tous les fleuves fe jetterdans la mer fans qu’elle franchise les bornes : la	5419000.txt
qu	que	 voyez tous les fleuves fe jeter dans la mer fans que’elle franchise les bornes : la terre en foutent 	5419000.txt
qu	que	fort l’angle faisant d’une montagne quelque petit que’il fait fe nomme suffi une montagne mais qu’eft-	5419000.txt
qu	que	etit que’il fait fe nomme suffi une montagne mais que’eft-ee que cette montagne en comparait fon  de c	5419000.txt
fon	Fond	e mais que’eft-ee que cette montagne en comparait fond  de celles qui sont répandues le juste milieu ij	5419000.txt
ij	id	ond  de celles qui sont répandues le juste milieu ij fur toute la surface du globe combien elles sont 	5419000.txt
espece	espèce	les produisent des plantes et des arbres de toute espece nourrissent des quadrupède et des oiseaux de tout	5419000.txt
espece	espèce	ourrissent des quadrupède et des oiseaux de toute espece et renferment des richesses infinies lorsque vous	5419000.txt
poifrij	poirier	ouvé serez vaste et profond 1 quelle multitude de poifrij le le juste milieu sons grands et petits y vivent	5419000.txt
poéte	poète	tendue fi profonde fi élevée et (i continuelle le poéte dans les transports de fon admiration série a que	5419000.txt
fon	Fond	et (i continuelle le poète dans les transports de fond admiration série a que les voies de la providenc	5419000.txt
fon	Fond	es de la providence sont imper  notables 1 jamais fond action n’eft ce ni suspendue ni interrompue ce c	5419000.txt
eft	est	dence sont imper  notables 1 jamais Fond action n’eft ce ni suspendue ni interrompue ce c’eft une vérit	5419000.txt
eft	est	 action n’est ce ni suspendue ni interrompue ce c’eft une vérité connue de tout ça le monde la vertu de	5419000.txt
ven	vend	une vérité connue de tout ça le monde la vertu de vend-vam ce n’en mutuelle pas l’image ne ce mutuelle 	5419000.txt
jj	Je	mutuelle pas pure entière et fans le juste milieu jj ce le moindre mélange de faufa  jeté a c’eft-à-di	5419000.txt
faufa	fauta	 fans le juste milieu Je ce le moindre mélange de faufa  jeté a c’eft-à-dire que ven - va ne devint un gr	5419000.txt
eft	est	ilieu Je ce le moindre mélange de fauta  jeté a c’eft-à-dire que ven - va ne devint un grand prince que	5419000.txt
ven	vend	moindre mélange de fauta  jeté a c’est-à-dire que vend - va ne devint un grand prince que parcequ’imira	5419000.txt
